target,xgb_default,xgb_optuna,dcnv2,realmlp,resnet,tabm,tabnet
hsa-mir-363-3p,-1.2687800477331308,-0.5284675698080954,-1.1403550239665887,-0.6386399628779253,-0.2199059783667534,-0.4212041609959742,-0.678605011908409
hsa-mir-326,-0.5223687850248013,-0.1517915396622708,-0.058037587129347,-0.019870579903839,-0.0392663731134148,-0.061786561440156,-0.051996319849489
hsa-mir-301a-5p,-0.4780867040177687,-0.2731673938254197,-0.1908193921360481,-0.108544949710331,-0.1098685621491279,-0.0270739177600989,-0.1766392479904475
hsa-mir-616-3p,-0.4087372365116888,-0.1823159278624033,-0.078588002648656,-0.0291686847468866,-0.0535491737698368,-0.0202995530303828,-0.0177703085637965
hsa-mir-411-5p,-0.1809726275436927,0.0648192937397468,-0.1715492236603355,-0.0617603083251219,-0.2633960823268246,0.0164619283627479,-0.0531698812652265
hsa-mir-129-1-3p,-0.1798063502377627,-0.0666446063490466,-0.0329419811148044,-0.0060920582092311,-0.0007469685301126,0.0015697539518518,-0.0034541485939303
hsa-mir-99b-3p,-0.1349812596103281,-0.0520143077058334,-0.1195843401298804,-0.0641367076632251,-0.0092624785248156,-0.0343553949985675,-0.0418434744048346
hsa-mir-3934-5p,-0.134417465616196,-0.0481244604812105,-0.0080691859431933,-0.0092753563581455,-0.0343510655870653,-0.0287015142176085,-0.001293025474051
hsa-mir-200c-3p,-0.1257340603457062,0.0084206685508132,-0.0836591958932433,-0.028686839071671,-0.0493433876141733,-0.013736938210541,-0.0760361813352499
hsa-mir-449a,-0.096594515269369,-0.0494004084795574,-0.0241629460708803,0.009148682559732,-0.0159243462119134,-0.0093612432958567,-0.0364962301161546
hsa-mir-374a-3p,-0.0957949328338905,-0.0344801308574869,-0.1532926799638705,-0.031493247224356,-0.0566753965941406,-0.0687559074528545,-0.1421847271787917
hsa-mir-125a-3p,-0.0927685370717366,-0.0950479977792777,-0.1121987241393684,-0.0529763594649468,-0.0241933057813528,-0.0245124976947743,-0.0171249358894769
hsa-mir-887-3p,-0.0897216478538212,0.0916790172534858,0.0804448700126782,0.0567476766808994,0.1190662280874124,0.0835116971390975,0.0307839656914636
hsa-mir-624-3p,-0.0815422366213356,-0.0188795777295902,-0.1324885669222872,-0.0296396816780668,-0.0162160164024958,0.0007404403230417,-0.0687038015991243
hsa-mir-4731-3p,-0.0588455042213935,0.0031516158140391,0.0025020603804375,0.0011874073980754,0.0149968436674056,0.0073224321164512,-0.030849740820418
hsa-mir-503-3p,-0.0584108000243839,0.0121687211519838,-0.029825512862309,0.0101136337288166,0.0150560338930731,-0.0018417799783885,-0.0153204922553134
hsa-mir-340-3p,-0.0461204023204651,0.0680675211058242,-0.1380553873344088,0.0037721041793031,0.0180585382341639,0.0678888170258673,0.0526130788972687
hsa-mir-124-3p,-0.0217639408908874,0.0721580026831183,-0.1190044644470862,-0.0868409145448336,-0.0975586426945271,0.0696533793760064,-0.0284623740408036
hsa-mir-556-3p,-0.0152035415652067,0.0977582436332021,-0.0479156622525522,0.095355259258048,0.0306621299260411,0.0822202204123284,0.0882341929297636
hsa-mir-15a-3p,-0.0025273962166338,0.0004468270015145,-0.0006205981404114,-0.0115546694046639,-0.0035610287956506,-0.0074053890255667,0.0017645450926818
hsa-mir-1180-3p,0.0238221467317426,0.1743496056948308,0.1447561587801095,0.1080859457740961,0.1037118240675187,0.1626455798531559,-0.1656555244296602
hsa-mir-301b-3p,0.0272365005668691,0.134014008812385,0.0959398957288643,0.1177544304126765,0.0852795240210702,0.1112590323120964,0.036612177757321
hsa-mir-378a-3p,0.0412765702801414,0.1547357323830495,0.1392681788174496,0.1169553405635831,0.1633340191743671,0.1478607204584213,0.1252264687400116
hsa-mir-592,0.0432455840313623,0.0647220847987638,-0.0238740121048206,0.0825168630892438,0.0093260313950644,0.1846682747146308,0.160132607428429
hsa-mir-1185-1-3p,0.0610715817815638,0.0911107231893948,0.0323849234775485,-0.0259823254740041,0.0308797042460128,0.0734738688776053,-0.0322015123383849
hsa-mir-301b-5p,0.0648143272284832,0.0709171359635487,-0.0779344068000182,0.0368004921830673,0.0531906315543139,0.0556705421767892,0.0208010627259485
hsa-mir-590-5p,0.0653703957014949,0.1603778536188833,-0.0247593742845195,-0.0049683430083216,-0.0237557846703608,0.0842765807082615,0.0494909862379541
hsa-mir-135a-5p,0.1093380048883512,0.2114210024762737,-0.0015966065548305,0.1273817059894533,0.1489053401705479,0.1790052303749957,0.0142999483731279
hsa-mir-382-5p,0.1134244593797977,0.164638052709637,0.0381718338597275,0.055348463304217,-0.1423515869401994,0.1221724203481697,0.0264674813819429
hsa-mir-487a-3p,0.1385616270011028,0.1816972186053488,-0.0121617635505322,0.0713897474682341,0.1182702685211425,0.1616352627153278,0.0071932482693186
hsa-mir-532-3p,0.1522686533464812,0.2558717117151946,0.2455193639871854,0.2126293109221411,0.1692507903908841,0.2059633294019354,0.0997736460989107
hsa-mir-27a-5p,0.1611907831727711,0.2400793892897736,0.1760985872146862,0.1939028790603018,0.1821092235841444,0.2145966093934044,0.1571565853088741
hsa-mir-125a-5p,0.2015708671857513,0.2505490790290462,0.1173369924809563,0.2579951598591689,0.2197880260181516,0.2730659990338714,0.2062424081816437
hsa-mir-642a-5p,0.2151889556488552,0.2957164796974865,0.2881846734616144,0.2912188487396693,0.3112151654356864,0.2860590233620126,0.3061333675125208
hsa-mir-22-5p,0.2738421578518458,0.3504582389417042,0.3190693699996549,0.3014726690798373,0.3001145867787534,0.2995516144931091,0.2737175865679649
hsa-mir-299-5p,0.3724301874209803,0.4225937783750482,0.408687351573479,0.3525624473652935,0.413084808571859,0.4141069642953939,0.3209765587561388
hsa-mir-22-3p,0.3758668262822213,0.4354206856625121,0.4021572212917342,0.355139101975096,0.4287670829952927,0.3781281245314279,0.3708144738971016
hsa-mir-423-5p,0.3984859347943026,0.4520166890523257,-0.2725625939226233,0.3253031882343311,0.3845674051703975,0.387890439001759,0.2605345388073425
hsa-mir-3180-3p,0.4168366517705506,0.4546626004154195,0.4477595163073136,0.3949781935011071,0.4549112187243825,0.4651734596674971,0.3749543106591427
hsa-mir-25-3p,0.4579954171977555,0.5085034417769563,0.2974563333855921,0.4456241083099003,0.4489348313897404,0.4759957126687248,0.3803545793686705
hsa-mir-486-5p,0.513386412151686,0.5699170780690628,0.5618574525312534,0.5766882565196151,0.5773473467205448,0.5811074271592982,0.5562886906878171
hsa-mir-138-5p,0.5247743328106513,0.5812694551085168,0.5416384209744327,0.5467059049182812,0.5515486792763903,0.5772309795366426,0.4703608329616081
hsa-mir-26a-5p,0.5669810424478605,0.6083138775814764,-0.3318891244533193,0.5923027590282175,0.4083419123849742,0.583599950391742,0.4083669670701442
hsa-mir-582-5p,0.5758313516853135,0.6122704836938176,0.6130498064571654,0.6154509469124394,0.5639635940935275,0.6351904459516438,0.5303062203857385
hsa-mir-18a-5p,0.6054364041348306,0.6367959645915636,0.6002992776712257,0.678994632291465,0.6883615263449538,0.6847138440164906,0.6629518496999307
hsa-mir-369-3p,0.7079015570578439,0.7105660364860282,0.7095474553460761,0.6870056315859835,0.6695097400884172,0.7059070473578273,0.6540005163621216
hsa-mir-495-3p,0.716940096635678,0.7214377673288228,0.6912713637003798,0.6700116784632796,0.7036111596463486,0.7252477396502789,0.6243040797089083
hsa-mir-708-5p,0.7903685089829073,0.7999490162659068,0.7860434789640708,0.742185721080859,0.7431207890763909,0.7640434574162716,0.7418237759801913
hsa-mir-142-3p,0.8729997228128891,0.8622093265412912,0.8306928305182014,0.8741604768550028,0.8610321681892527,0.8737516978875762,0.8585082219016557
hsa-mir-20a-5p,0.9234402085791414,0.9429816495036852,0.6849495999036105,0.8878707421106602,0.8729435638499411,0.8900953442393164,0.9084334928261828
